,Date,Datetime,Surface Temperature (kelvin),Surface Temperature (Celcius),Power,Confidence,Latitude,Longitude
107,2017-11-09,2017-11-09T04:16:53,324.7,51,17.5,75,-37.213,142.941
108,2017-11-09,2017-11-09T04:16:48,332.5,59,30.6,85,-37.479,143.358
109,2017-11-09,2017-11-09T04:16:48,320.2,47,14.3,72,-37.467,143.351
110,2017-11-09,2017-11-09T04:16:48,366.7,93,116.9,100,-37.477,143.352
111,2017-11-09,2017-11-09T04:16:48,351.1,77,68.4,96,-37.475,143.365
112,2017-11-09,2017-11-09T04:16:46,314.4,41,10.8,63,-37.719,142.154
113,2017-11-09,2017-11-09T04:16:44,335.2,62,36.4,87,-37.692,143.593
114,2017-11-09,2017-11-09T04:16:44,353.9,80,76.8,97,-37.69,143.605
115,2017-11-08,2017-11-08T05:12:08,317.0,43,21.0,60,-36.538000000000004,141.129
116,2017-11-08,2017-11-08T05:12:08,321.7,48,39.4,72,-36.543,141.138
117,2017-11-05,2017-11-05T04:41:34,332.0,58,31.1,83,-36.341,143.636
118,2017-11-05,2017-11-05T04:41:34,322.4,49,14.8,71,-36.346,143.631
119,2017-11-05,2017-11-05T04:41:19,338.8,65,49.4,90,-37.330999999999996,143.122
120,2017-11-05,2017-11-05T04:41:19,335.7,62,43.8,89,-37.329,143.136
121,2017-10-28,2017-10-28T03:52:17,329.2,56,97.4,81,-37.34,143.123
122,2017-10-27,2017-10-27T04:47:31,317.2,44,13.3,62,-36.748000000000005,144.168
123,2017-10-27,2017-10-27T04:47:31,324.7,51,28.8,78,-36.751999999999995,144.15
124,2017-10-27,2017-10-27T04:47:31,333.3,60,52.9,86,-36.759,144.158
125,2017-10-27,2017-10-27T00:33:09,324.1,50,14.9,78,-36.764,144.165
126,2017-10-27,2017-10-27T00:33:09,320.7,47,11.4,74,-36.765,144.17600000000002
127,2017-10-26,2017-10-26T13:30:31,309.2,36,14.3,77,-35.325,143.497
128,2017-10-26,2017-10-26T13:30:31,321.2,48,27.0,100,-35.321,143.502
129,2017-10-26,2017-10-26T13:30:31,326.7,53,33.8,100,-35.323,143.509
130,2017-10-26,2017-10-26T04:04:53,315.5,42,11.9,67,-36.156,143.56799999999998
131,2017-10-26,2017-10-26T04:04:53,317.3,44,13.4,69,-36.152,143.578
132,2017-10-23,2017-10-23T00:57:55,311.7,38,25.2,72,-37.297,144.384
133,2017-10-21,2017-10-21T01:09:55,317.9,44,59.9,77,-36.1,143.767
